station,lon,lat,elevation,start_year,end_year
Gan,73.15,-0.68333,2,1967,1975
Gandajika,23.95,-6.75,780,1958,1960
Gangcha,100.13333,37.33333,3302,1993,2000
Ganzhou,114.95,25.85,123,1961,2000
Ganzi,100.0,31.61667,3394,1994,2000
Gaoua,356.81667,10.33333,333,1971,1980
Garissa,39.63333,-0.46667,138,1964,1994
Garston,359.61667,51.7,77,1957,1975
Gaviotas,289.08333,4.55,165,1988,1997
Gaya,3.45,11.88333,203,1980,1980
Gd-St.-Bernard,7.17056,45.86861,2472,1981,2007
Gdynia,18.6,54.51667,13,1964,1978
Geer,80.08333,32.5,0,1971,2000
Geisenheim,7.95,49.98333,131,1976,1998
Gela,14.21667,37.08333,33,1965,1997
Gelsenkirchen,7.08333,51.5,63,1973,1991
Geneve,6.13333,46.25,416,1988,2007
Geneve-Cointrin,6.12333,46.24444,420,1981,2021
GenovaSestri,8.85,44.41667,3,1964,1989
GenovaUniversity,8.93333,44.41667,55,1964,1973
GeorgvonNeumayerBSRN,351.75,-70.65,42,1992,2004
GeorgvonNeumayerStationBSRN,351.75,-70.65,42,1992,2021
GeraldtonAirp.,114.7,-28.78333,37,1968,2021
GeronaAirport,2.75,41.9,127,2003,2021
GhazalaGawazat,26.45,11.46667,481,1964,1986
Giessen,8.7,50.58333,201,1981,1998
Gilat,34.66667,31.33333,150,1960,1964
GillotSaintDenis,55.51667,-20.88333,21,1973,2021
Giza,31.21667,30.05,21,1964,1968
Gladstone,151.26667,-23.85,75,1964,1966
Glasgow,253.38333,48.21667,700,1950,1998
GlenlittaAve,144.95,-37.7,108,1997,2004
GoaPanjim,73.81667,15.48333,55,1964,2021
GobabebBSRN,15.04194,-23.56139,0,2012,2022
Goeteborg,12.0,57.7,5,1988,2021
Golmud,94.9,36.41667,2808,1957,2000
Goma,29.23333,-1.66333,1555,1982,1984
